timestamp [UTC],message,logLevel,severityLevel
"3/6/2026, 1:44:09.731 AM",Function Conversation-Answer invoking.,Information,1
"3/6/2026, 1:44:19.910 AM","HTTP Request: POST https://oai0-ltpq2fb2vu5v2.openai.azure.com/openai/deployments/chat/chat/completions?api-version=2024-10-21 ""HTTP/1.1 200 OK""",Information,1
"3/6/2026, 1:44:19.910 AM","OpenAI usage: CompletionUsage(completion_tokens=846, prompt_tokens=13308, total_tokens=14154, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=13184))",Information,1
"3/6/2026, 1:44:19.911 AM",Function Conversation-Answer succeeded.,Information,1
"3/6/2026, 1:44:19.911 AM",Function completed. Duration: 10.182614s,Information,1
"3/6/2026, 1:44:19.916 AM",[code_orchest] finished generating bot answer. 10.18 seconds. ### Key Rights and Responsibilities of Tenants under the Residential Tenancies Act 2010 and Resident.,Information,1
"3/6/2026, 1:44:19.918 AM",[code_orchest] checking responsible AI (fairness). answer: ### Key Rights and Responsibilities of Tenants und,Information,1
"3/6/2026, 1:44:19.918 AM",Function Semantic-Fairness invoking.,Information,1
"3/6/2026, 1:44:21.202 AM","HTTP Request: POST https://oai0-ltpq2fb2vu5v2.openai.azure.com/openai/deployments/chat/chat/completions?api-version=2024-10-21 ""HTTP/1.1 200 OK""",Information,1
"3/6/2026, 1:44:21.203 AM","OpenAI usage: CompletionUsage(completion_tokens=20, prompt_tokens=1117, total_tokens=1137, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))",Information,1
"3/6/2026, 1:44:21.203 AM",Function Semantic-Fairness succeeded.,Information,1
"3/6/2026, 1:44:21.203 AM",Function completed. Duration: 1.294741s,Information,1
"3/6/2026, 1:44:21.204 AM",[code_orchest] responsible ai check. Is it fair? True.,Information,1
"3/6/2026, 1:44:21.204 AM",[code_orchest] finished checking responsible AI (fairness). 1.3 seconds.,Information,1
"3/6/2026, 1:44:21.205 AM",[code_orchest] finished RAG Flow. 15.72 seconds.,Information,1
"3/6/2026, 1:44:21.272 AM",[orchestrator] 61293ce2-4b69-4689-9363-d8cb6746d3e3 finished conversation flow. 15.88 seconds. answer: ### Key Rights and Responsibil,Information,1
"3/6/2026, 1:44:21.275 AM","Executed 'Functions.orc' (Succeeded, Id=6641a102-e0f3-4836-b738-a9892bd43f1c, Duration=15956ms)",Information,1
